,자치구명,Quarter1,Quarter2,Quarter3,Quarter4,1~3월 발생건수,4~6월 발생건수,7~9월 발생건수,10~12월 발생건수,모든 점멸신호 운영개수,교통사고_발생률
0,강남구,180697984,182064937,182780256,178837366,106,101,81,101,44,5.370105585511288e-07
1,강북구,88659789,88039328,88461872,86585134,61,62,52,65,29,6.823102923013597e-07
2,강서구,154120228,153545282,154686616,151851221,54,65,65,74,111,4.200563237894567e-07
3,관악구,144753927,145040299,144001946,141455320,62,54,73,61,29,4.345925277495847e-07
4,광진구,103837008,104892512,103933231,102889237,39,39,33,33,39,3.465270391150192e-07
5,구로구,108033576,107338945,108041245,106511146,73,51,32,68,45,5.210212149790473e-07
6,금천구,56240778,56113342,56358652,55608726,54,25,34,34,15,6.553094612447711e-07
7,노원구,150932450,150430089,149847861,147757206,72,67,52,65,103,4.274020789030785e-07
8,도봉구,83455609,83081457,83024598,80958745,42,33,36,39,46,4.538297663791164e-07
9,동대문구,98046836,99645140,98126508,98014400,71,55,56,77,21,6.576393453219107e-07
10,동작구,114826647,115169328,114593570,113120530,60,56,46,72,50,5.112406581830212e-07
11,마포구,117736018,119416107,119061786,116974535,67,76,41,60,33,5.156507984558862e-07
12,서대문구,97092160,99051334,97777833,97252844,53,56,41,35,16,4.729351110454581e-07
13,서초구,135792458,136601488,136643559,133359964,85,72,67,63,90,5.291322625991088e-07
14,성동구,90061969,90557534,90566120,90059577,40,46,40,30,34,4.318396479731773e-07
15,성북구,122081344,124323582,122471203,122068110,70,74,58,78,63,5.703295359373797e-07
16,송파구,202541700,203017211,204423134,200280576,128,95,88,78,60,4.800912567334141e-07
17,양천구,114777376,113644377,113626481,110666069,48,45,43,49,42,4.0864624504695626e-07
18,영등포구,112945712,113598980,114248262,112700232,94,90,83,79,21,7.629662598723148e-07
19,용산구,71501006,72573405,72035641,71182975,54,29,54,32,29,5.882495714036247e-07
20,은평구,131912098,131755246,131836521,129385942,73,59,48,63,63,4.629543129992616e-07
21,종로구,59491169,61702095,60309936,59972889,49,54,44,56,15,8.406629444789459e-07
22,중구,48061952,50256819,49328201,49011450,57,63,40,55,9,1.0932661709245285e-06
23,중랑구,105963899,105138289,105817339,103774010,80,60,61,67,74,6.3704330214134e-07
