사고발생_년도,사고발생_월,사고발생_일,사고발생_시간,자치구명,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2014년,1월,1일,00시,강북구,번동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,기타불명,경상
2014년,1월,1일,00시,강동구,천호동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,중상
2014년,1월,1일,02시,관악구,봉천동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,1일,23시,영등포구,영등포동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,중상
2014년,1월,2일,22시,동대문구,전농동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,중상
2014년,1월,3일,01시,동작구,상도동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,3일,02시,영등포구,영등포동4가,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,부상신고
2014년,1월,3일,05시,광진구,중곡동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,중상
2014년,1월,3일,23시,영등포구,영등포동3가,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,상해없음,부상신고
2014년,1월,4일,00시,중랑구,신내동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,경상
2014년,1월,4일,23시,중구,신당동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,5일,02시,금천구,독산동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,5일,03시,구로구,오류동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,5일,06시,강남구,역삼동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,5일,22시,구로구,신도림동,중상사고,0,2,1,0,횡단중,안전운전불이행,단일로,횡단보도상,경상,중상
2014년,1월,6일,06시,송파구,신천동,사망사고,1,0,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,사망
2014년,1월,6일,06시,구로구,구로동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,1월,7일,01시,강남구,신사동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,1월,7일,01시,강서구,화곡동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,8일,00시,구로구,오류동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,8일,01시,양천구,신월동,사망사고,1,0,0,0,차도통행중,안전운전불이행,미분류,미분류,상해없음,사망
2014년,1월,8일,02시,노원구,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,1월,8일,02시,노원구,공릉동,중상사고,0,1,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,1월,8일,06시,성북구,돈암동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,1월,10일,01시,종로구,종로5가,경상사고,0,0,1,0,횡단중,신호위반,단일로,기타,상해없음,경상
2014년,1월,10일,02시,동대문구,장안동,중상사고,0,1,0,0,횡단중,안전운전불이행,기타,기타,상해없음,중상
2014년,1월,10일,04시,금천구,독산동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,경상
2014년,1월,10일,06시,광진구,중곡동,사망사고,1,0,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,사망
2014년,1월,10일,06시,강남구,도곡동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,10일,22시,강남구,청담동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
