교차로명,자치구명,매일1,매일2,토요일1,토요일2,일요일,특이사항
월곡초교,성북구,00:00~04:00,0.0,0,0,0,0
사대부중,성북구,00:00~04:00,0.0,0,0,0,0
광장중학교,광진구,20:00~07:00,0.0,0,0,0,0
아리랑고개,성북구,00:00~05:00,0.0,0,0,0,0
예찬교회,강북구,01:00~05:00,0.0,0,0,0,0
세윤하이츠,강북구,01:00~05:00,0.0,0,0,0,0
월계사슴2단지,노원구,00:00~05:00,0.0,0,0,0,0
월계사슴2단지,노원구,00:00~05:00,0.0,0,0,0,0
청구종합상가,노원구,00:00~05:00,0.0,0,0,0,0
청구종합상가,노원구,00:00~05:00,0.0,0,0,0,0
청계초교,노원구,00:00~05:00,0.0,0,0,0,0
청계초교,노원구,00:00~05:00,0.0,0,0,0,0
연촌초교,노원구,00:00~05:00,0.0,0,0,0,0
위례정보산업고,노원구,00:00~05:00,0.0,0,0,0,0
위례정보산업고,노원구,00:00~05:00,0.0,0,0,0,0
상계5동주민센터,노원구,01:00~05:00,0.0,0,0,0,0
당고개역,노원구,00:00~04:00,0.0,0,0,0,0
코오롱연립,노원구,00:00~05:00,0.0,0,0,0,0
코오롱연립,노원구,00:00~05:00,0.0,0,0,0,0
서진아파트,노원구,00:00~05:00,0.0,0,0,0,0
동천학교,노원구,00:00~05:00,0.0,0,0,0,0
용원초교,노원구,00:00~05:00,0.0,0,0,0,0
방학중학교,도봉구,00:00~04:00,0.0,0,0,0,0
방학2동주민센터,도봉구,00:00~04:00,0.0,0,0,0,0
백운시장,도봉구,00:00~04:00,0.0,0,0,0,0
백운시장,도봉구,00:00~04:00,0.0,0,0,0,0
녹주아파트,노원구,00:00~05:00,0.0,0,0,0,0
삼양로9길입구,성북구,00:00~05:00,0.0,0,0,0,0
태릉가스충전소,노원구,00:00~05:00,0.0,0,0,0,0
유창빌딩,마포구,01:00~04:00,0.0,0,0,0,0
신방학중,도봉구,00:00~04:00,0.0,0,0,0,0
신방학중,도봉구,00:00~04:00,0.0,0,0,0,0
신방학중,도봉구,00:00~04:00,0.0,0,0,0,0
정의공주묘,도봉구,00:00~04:00,0.0,0,0,0,0
한솔부동산,노원구,00:00~05:00,0.0,0,0,0,0
한솔부동산,노원구,00:00~05:00,0.0,0,0,0,0
뚝도아리수정수센터,성동구,01:00~05:00,0.0,0,0,0,0
번동한진아파트,강북구,00:00~05:00,0.0,0,0,0,0
먹골파출소,중랑구,00:00~05:00,0.0,0,0,0,0
성신여대,성북구,00:00~05:00,0.0,0,0,0,0
정릉3동주민센터,성북구,00:00~04:00,0.0,0,0,0,0
정릉3동주민센터,성북구,00:00~04:00,0.0,0,0,0,0
정릉3동주민센터,성북구,00:00~04:00,0.0,0,0,0,0
56사단,은평구,01:00~05:00,0.0,0,0,0,0
독바위역,은평구,01:00~05:00,0.0,0,0,0,0
독바위역,은평구,01:00~05:00,0.0,0,0,0,0
자양4동주민센터,광진구,00:00~05:00,0.0,0,0,0,0
자양4동주민센터,광진구,00:00~05:00,0.0,0,0,0,0
구산치안센터,은평구,01:00~05:00,0.0,0,0,0,0
구산치안센터,은평구,01:00~05:00,0.0,0,0,0,0
북서울꿈의숲후문,강북구,00:00~05:00,0.0,0,0,0,0
주공326단지,노원구,00:00~05:00,0.0,0,0,0,0
주공326단지,노원구,00:00~05:00,0.0,0,0,0,0
주공326단지,노원구,00:00~05:00,0.0,0,0,0,0
청원고교,노원구,00:00~05:00,0.0,0,0,0,0
청원고교,노원구,00:00~05:00,0.0,0,0,0,0
북한산온천,은평구,01:00~05:00,0.0,0,0,0,0
북한산온천,은평구,01:00~05:00,0.0,0,0,0,0
북한산온천,은평구,01:00~05:00,0.0,0,0,0,0
온곡초교입구,노원구,01:00~05:00,0.0,0,0,0,0
숭곡초교,성북구,00:00~05:00,0.0,0,0,0,0
자양중입구,광진구,00:00~05:00,0.0,0,0,0,0
명사약국앞,중랑구,00:00~05:00,0.0,0,0,0,0
공릉1수문,노원구,00:00~05:00,0.0,0,0,0,0
중계롯데아파트,노원구,00:00~05:00,0.0,0,0,0,0
공릉초교,노원구,00:00~05:00,0.0,0,0,0,0
공릉초교,노원구,00:00~05:00,0.0,0,0,0,0
삼원수출포장,도봉구,00:00~04:00,0.0,0,0,0,0
면목7치안센터,중랑구,01:00~05:00,0.0,0,0,0,0
50번종점,중랑구,01:00~05:00,0.0,0,0,0,0
50번종점,중랑구,01:00~05:00,0.0,0,0,0,0
금란유치원,중랑구,00:00~04:00,0.0,0,0,0,0
입곡삼거리,은평구,01:00~05:00,0.0,0,0,0,0
수색초교입구,은평구,00:00~05:00,0.0,0,0,0,0
수색초교입구,은평구,00:00~05:00,0.0,0,0,0,0
우이그린빌라,도봉구,01:00~05:00,0.0,0,0,0,0
은평경찰서,은평구,01:00~05:00,0.0,0,0,0,0
신내대성아파트,중랑구,00:00~04:00,0.0,0,0,0,0
정릉대우아파트,성북구,00:00~04:00,0.0,0,0,0,0
성신초교,성북구,00:00~05:00,0.0,0,0,0,0
옥수삼성아파트후문,성동구,00:00~05:00,0.0,0,0,0,0
창번2교,도봉구,00:00~04:00,0.0,0,0,0,0
돈암천주교회,성북구,01:00~05:00,0.0,0,0,0,0
홍익중고입구,성북구,00:00~04:00,0.0,0,0,0,0
홍익중고입구,성북구,00:00~04:00,0.0,0,0,0,0
쌍문청구아파트,도봉구,00:00~04:00,0.0,0,0,0,0
법종사,도봉구,01:00~05:00,0.0,0,0,0,0
법종사,도봉구,01:00~05:00,0.0,0,0,0,0
법종사,도봉구,01:00~05:00,0.0,0,0,0,0
면동초교,중랑구,01:00~05:00,0.0,0,0,0,0
공릉삼익아파트404동앞,노원구,00:00~05:00,0.0,0,0,0,0
상계119안전센터,노원구,00:00~05:00,0.0,0,0,0,0
상계119안전센터,노원구,00:00~05:00,0.0,0,0,0,0
면목본동파출소,중랑구,00:00~04:00,0.0,0,0,0,0
혜원여중고후문,중랑구,00:00~04:00,0.0,0,0,0,0
신내동성아파트,중랑구,00:00~04:00,0.0,0,0,0,0
신내동성아파트,중랑구,00:00~04:00,0.0,0,0,0,0
신내동성아파트,중랑구,00:00~04:00,0.0,0,0,0,0
신창교,도봉구,00:00~04:00,0.0,0,0,0,0
신창교,도봉구,00:00~04:00,0.0,0,0,0,0
송곡관광고,중랑구,00:00~05:00,0.0,0,0,0,0
도봉산성당,도봉구,00:00~05:00,0.0,0,0,0,0
불광삼익아파트,은평구,01:00~05:00,0.0,0,0,0,0
한양701동,도봉구,00:00~04:00,0.0,0,0,0,0
