사고발생_년도,사고발생_월일,사고발생_시간,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2014년,9월7일,01시,월계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2014년,9월8일,03시,공릉동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2014년,10월18일,01시,상계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2014년,10월27일,03시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2014년,10월31일,01시,월계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로부근,상해없음,
2014년,11월8일,04시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2014년,11월10일,01시,하계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2014년,11월21일,01시,상계동,중상사고,0,1,1,0,횡단중,신호위반,단일로,기타,상해없음,
2014년,11월30일,01시,상계동,경상사고,0,0,1,0,차도통행중,신호위반,단일로,기타,상해없음,
2014년,12월7일,00시,월계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,기타,기타,상해없음,
2014년,12월12일,00시,월계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,
2014년,12월20일,03시,공릉동,중상사고,0,1,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2015년,1월5일,01시,상계동,부상신고사고,0,0,0,1,차도통행중,안전운전불이행,단일로,기타,상해없음,
2015년,1월21일,04시,하계동,경상사고,0,0,1,0,차도통행중,중앙선침범,단일로,기타,상해없음,
2015년,1월31일,02시,상계동,중상사고,0,2,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2015년,2월10일,01시,중계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,2월18일,00시,상계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2015년,2월23일,05시,월계동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,상해없음,
2015년,3월7일,03시,상계동,중상사고,0,1,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2015년,3월21일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,3월21일,01시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2015년,3월28일,00시,월계동,부상신고사고,0,0,0,1,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2015년,4월4일,05시,월계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로부근,상해없음,
2015년,5월4일,01시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,5월12일,01시,중계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2015년,5월12일,02시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2015년,5월30일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,
2015년,6월21일,03시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2015년,7월13일,01시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,
2015년,7월14일,01시,하계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로안,상해없음,
2015년,7월26일,03시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,8월9일,03시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2015년,8월15일,00시,공릉동,중상사고,0,2,0,0,횡단중,신호위반,교차로,교차로안,중상,
2015년,9월6일,03시,공릉동,경상사고,0,0,1,1,횡단중,안전운전불이행,교차로,교차로안,경상,
2015년,10월17일,02시,공릉동,사망사고,1,0,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,10월24일,00시,하계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,
2015년,11월16일,02시,월계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,
2015년,11월19일,01시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,11월19일,04시,공릉동,사망사고,1,0,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2015년,11월23일,05시,월계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,
2015년,11월26일,00시,하계동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도상,상해없음,
2015년,11월27일,02시,월계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,
2015년,11월28일,01시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2015년,11월30일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2015년,12월13일,00시,월계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,1월19일,04시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2016년,1월31일,05시,월계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,2월18일,00시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,2월21일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,3월5일,01시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
