년도,월,일,자치구명,시간대구분,총생활인구수
2022,01,01,중구,0,163439.6365
2022,01,01,용산구,0,252165.9659
2022,01,01,성동구,0,312343.4234
2022,01,01,광진구,0,348524.3239
2022,01,01,동대문구,0,331304.8412
2022,01,01,중랑구,0,374363.5507
2022,01,01,성북구,0,419572.2031
2022,01,01,강북구,0,309984.1427
2022,01,01,도봉구,0,290791.8242
2022,01,01,노원구,0,520637.0778
2022,01,01,은평구,0,466292.5562
2022,01,01,서대문구,0,332498.643
2022,01,01,마포구,0,394096.5449
2022,01,01,양천구,0,394401.6887
2022,01,01,강서구,0,538761.3705
2022,01,01,구로구,0,382013.8473
2022,01,01,금천구,0,201988.0647
2022,01,01,영등포구,0,406815.6572
2022,01,01,동작구,0,383668.3092
2022,01,01,관악구,0,473232.7903
2022,01,01,서초구,0,449227.1509
2022,01,01,강남구,0,621553.7241
2022,01,01,송파구,0,707267.4103
2022,01,01,강동구,0,525234.0604
2022,01,01,종로구,1,195576.008
2022,01,01,중구,1,160025.1417
2022,01,01,용산구,1,251223.678
2022,01,01,성동구,1,311952.9402
2022,01,01,광진구,1,349062.9221
2022,01,01,동대문구,1,329676.1722
2022,01,01,중랑구,1,374495.1346
2022,01,01,성북구,1,419620.7691
2022,01,01,강북구,1,309710.2254
2022,01,01,도봉구,1,290895.3515
2022,01,01,노원구,1,521376.4295
2022,01,01,은평구,1,466771.4203
2022,01,01,서대문구,1,332219.6979
2022,01,01,마포구,1,395696.8679
2022,01,01,양천구,1,391027.4664
2022,01,01,강서구,1,538807.5516
2022,01,01,구로구,1,381412.3803
2022,01,01,금천구,1,200285.0745
2022,01,01,영등포구,1,400142.3016
2022,01,01,동작구,1,382880.2858
2022,01,01,관악구,1,474710.0224
2022,01,01,서초구,1,445377.9289
2022,01,01,강남구,1,614869.2351
2022,01,01,송파구,1,705705.9945
2022,01,01,강동구,1,523292.9729
2022,01,01,종로구,2,194854.174
2022,01,01,중구,2,158763.4494
2022,01,01,용산구,2,250743.3715
2022,01,01,성동구,2,311692.7724
2022,01,01,광진구,2,349079.9915
2022,01,01,동대문구,2,329531.2478
2022,01,01,중랑구,2,374586.3707
2022,01,01,성북구,2,419312.9237
2022,01,01,강북구,2,310036.2821
2022,01,01,도봉구,2,290730.0708
2022,01,01,노원구,2,521639.7968
2022,01,01,은평구,2,467195.4104
2022,01,01,서대문구,2,331726.1053
2022,01,01,마포구,2,394443.2362
2022,01,01,양천구,2,390274.483
2022,01,01,강서구,2,538430.64
2022,01,01,구로구,2,381082.0453
2022,01,01,금천구,2,199566.5842
2022,01,01,영등포구,2,398653.4128
2022,01,01,동작구,2,383070.7466
2022,01,01,관악구,2,475268.7771
2022,01,01,서초구,2,444415.7518
2022,01,01,강남구,2,612385.1144
2022,01,01,송파구,2,704777.1071
2022,01,01,강동구,2,523792.3042
2022,01,01,종로구,3,194612.3125
2022,01,01,중구,3,157887.6109
2022,01,01,용산구,3,250506.032
2022,01,01,성동구,3,311315.0927
2022,01,01,광진구,3,349164.6558
2022,01,01,동대문구,3,329528.7887
2022,01,01,중랑구,3,374780.7976
2022,01,01,성북구,3,419140.1362
2022,01,01,강북구,3,309739.0096
2022,01,01,도봉구,3,290987.112
2022,01,01,노원구,3,521700.0978
2022,01,01,은평구,3,466923.126
2022,01,01,서대문구,3,331064.9611
2022,01,01,마포구,3,394373.8581
2022,01,01,양천구,3,390612.0114
2022,01,01,강서구,3,537778.6548
2022,01,01,구로구,3,380812.7004
2022,01,01,금천구,3,199209.1786
2022,01,01,영등포구,3,397768.8852
2022,01,01,동작구,3,382609.769
2022,01,01,관악구,3,475341.4093
2022,01,01,서초구,3,443772.9327
2022,01,01,강남구,3,610626.9591
2022,01,01,송파구,3,703775.4287
2022,01,01,강동구,3,523578.2995
2022,01,01,종로구,4,194345.6097
2022,01,01,중구,4,157428.7683
2022,01,01,용산구,4,251615.988
2022,01,01,성동구,4,310845.8063
2022,01,01,광진구,4,349411.7015
2022,01,01,동대문구,4,328989.0447
2022,01,01,중랑구,4,374540.6491
2022,01,01,성북구,4,419006.0776
2022,01,01,강북구,4,309655.3079
2022,01,01,도봉구,4,290578.6577
2022,01,01,노원구,4,521438.6868
2022,01,01,은평구,4,466706.9055
2022,01,01,서대문구,4,330816.2749
2022,01,01,마포구,4,394987.2686
2022,01,01,양천구,4,388728.3175
2022,01,01,강서구,4,538568.45
2022,01,01,구로구,4,380798.4046
2022,01,01,금천구,4,198523.3661
2022,01,01,영등포구,4,396749.8553
2022,01,01,동작구,4,382382.128
2022,01,01,관악구,4,474522.5241
2022,01,01,서초구,4,444699.5685
2022,01,01,강남구,4,609125.2764
2022,01,01,송파구,4,703390.5221
2022,01,01,강동구,4,522333.1213
2022,01,01,종로구,5,195347.0262
2022,01,01,중구,5,157540.3668
2022,01,01,용산구,5,251733.5423
2022,01,01,성동구,5,311619.1876
2022,01,01,광진구,5,349234.343
2022,01,01,동대문구,5,328131.5619
2022,01,01,중랑구,5,373886.8964
2022,01,01,성북구,5,418475.8384
2022,01,01,강북구,5,308897.7087
2022,01,01,도봉구,5,290424.934
2022,01,01,노원구,5,520118.8022
2022,01,01,은평구,5,465357.3701
2022,01,01,서대문구,5,331033.9028
2022,01,01,마포구,5,394273.7301
